Country,Year,Access to Electricity(%),Food Production Index,Population Density,Unemployed Labour(%),"Road Accident Mortality(per 100,000 people)",Electric power consumption(kWh/Capita),GDP Deflator,GDP/Capita($),Literacy Rate Adult,Immunization(Measles %),Immunization(DPT %),Life Expectancy at Birth,Total greenhouse gas emissions (kt of CO2 equivalent),Rural Population(%)
Sub-Saharan Africa (excluding high income),2011,35.44365736,7.637993745,37.43674744,5.885741122,26.925541,512.3698663,9.410962983,1742.019018,60.24391174,70.90092577,71.58067823,57.45450696,2066010,63.47783986
Sub-Saharan Africa (excluding high income),2012,37.02156105,0.188162447,38.47140365,5.835353277,26.75649916,497.475707,5.308339372,1777.606336,61.37615967,70.52843487,70.67093804,58.14802592,2122010,62.96445062
Sub-Saharan Africa (excluding high income),2013,38.08059081,0.195177107,39.53258296,5.710783267,26.48296128,492.3620841,3.69064999,1841.643333,62.24433899,69.4844891,69.68125996,58.80002042,2177460,62.45056343
Sub-Saharan Africa (excluding high income),2014,37.94241804,0.205185398,40.61921088,5.775527428,26.71211247,487.3282404,3.088364319,1862.423665,62.89559174,68.87158809,70.80747672,59.40349335,2226630,61.93253602
Sudan,2000,23,78.67,10.99199349,15.45,25.5,79.55998124,9.853136581,366.172742,61.34587097,58,62,58.472,77600,67.505
Sudan,2001,31.69804192,87.3,11.27250897,15.41,25.5,66.78327045,1.607103162,383.0160766,53.51737976,58,66,58.859,73560,67.452
Sudan,2002,32.14664078,89.57,11.56819802,15.48,25.4,78.14027946,7.388972499,418.2517586,53.51737976,58,60,59.258,78860,67.399
Sudan,2003,32.58556747,98.6,11.87276207,15.48,25.7,82.55116501,9.670060748,484.8449083,53.51737976,65,69,59.67,81290,67.346
Sudan,2004,33.01359177,97.09,12.17649633,15.4,25.7,83.2059401,15.67380935,573.3069414,53.51737976,67,74,60.092,83720,67.293
Sudan,2005,33.42964554,100.8,12.47283664,15.28,25.6,98.28910399,8.624863759,689.2096107,53.51737976,69,78,60.525,88340,67.24
Sudan,2006,33.83626556,102.11,12.75990177,15.07,24.9,109.7852101,9.376786713,905.3096991,53.51737976,73,78,60.969,88220,67.187
Sudan,2007,34.23961639,101.17,13.04152028,14.88,24.7,118.7863557,6.669433968,1128.410266,53.51737976,79,84,61.422,93130,67.134
